rq0_id,language,condition,ssim_vs_baseline
dorn_cuda_106,cuda,gaussian_sigma_4,0.7282436735048053
dorn_cuda_107,cuda,gaussian_sigma_1,0.9268282260681838
dorn_cuda_107,cuda,gaussian_sigma_2,0.8161132634274995
dorn_cuda_107,cuda,gaussian_sigma_4,0.7457834239645825
dorn_cuda_108,cuda,gaussian_sigma_1,0.8912029577439703
dorn_cuda_108,cuda,gaussian_sigma_2,0.7105154491826444
dorn_cuda_108,cuda,gaussian_sigma_4,0.5966756494948573
dorn_cuda_109,cuda,gaussian_sigma_1,0.9535869164480194
dorn_cuda_109,cuda,gaussian_sigma_2,0.8743616805306432
dorn_cuda_109,cuda,gaussian_sigma_4,0.8277191291912098
dorn_cuda_110,cuda,gaussian_sigma_1,0.8918205045384974
dorn_cuda_110,cuda,gaussian_sigma_2,0.7150766495978401
dorn_cuda_110,cuda,gaussian_sigma_4,0.6052550897276532
dorn_cuda_111,cuda,gaussian_sigma_1,0.9176023220559757
dorn_cuda_111,cuda,gaussian_sigma_2,0.7771106292348305
dorn_cuda_111,cuda,gaussian_sigma_4,0.6952458297676599
dorn_cuda_112,cuda,gaussian_sigma_1,0.9344574888442674
dorn_cuda_112,cuda,gaussian_sigma_2,0.8285865051830789
dorn_cuda_112,cuda,gaussian_sigma_4,0.7651502144239513
dorn_cuda_113,cuda,gaussian_sigma_1,0.914059280752319
dorn_cuda_113,cuda,gaussian_sigma_2,0.7739224817401454
dorn_cuda_113,cuda,gaussian_sigma_4,0.6905646759753982
dorn_cuda_114,cuda,gaussian_sigma_1,0.901709533756519
dorn_cuda_114,cuda,gaussian_sigma_2,0.7339292264210937
dorn_cuda_114,cuda,gaussian_sigma_4,0.6274488815762095
dorn_cuda_115,cuda,gaussian_sigma_1,0.8759135971942537
dorn_cuda_115,cuda,gaussian_sigma_2,0.678936832906803
dorn_cuda_115,cuda,gaussian_sigma_4,0.559993660473948
dorn_cuda_116,cuda,gaussian_sigma_1,0.929211825293717
dorn_cuda_116,cuda,gaussian_sigma_2,0.8119571579369259
dorn_cuda_116,cuda,gaussian_sigma_4,0.7398661290272962
dorn_cuda_117,cuda,gaussian_sigma_1,0.911384572811265
dorn_cuda_117,cuda,gaussian_sigma_2,0.7704040875309434
dorn_cuda_117,cuda,gaussian_sigma_4,0.6855929112282143
dorn_cuda_118,cuda,gaussian_sigma_1,0.9011750962689778
dorn_cuda_118,cuda,gaussian_sigma_2,0.7428920721311965
dorn_cuda_118,cuda,gaussian_sigma_4,0.6436656367768799
dorn_cuda_119,cuda,gaussian_sigma_1,0.9521990013980366
dorn_cuda_119,cuda,gaussian_sigma_2,0.8753741400518606
dorn_cuda_119,cuda,gaussian_sigma_4,0.8226776202398024
rq0_0000,java,gaussian_sigma_1,0.949764709639933
rq0_0000,java,gaussian_sigma_2,0.868130489586472
rq0_0000,java,gaussian_sigma_4,0.8136792453359095
rq0_0001,java,gaussian_sigma_1,0.9429096295272986
rq0_0001,java,gaussian_sigma_2,0.8528297207858433
rq0_0001,java,gaussian_sigma_4,0.7972964971420927
rq0_0002,java,gaussian_sigma_1,0.9096926669548604
rq0_0002,java,gaussian_sigma_2,0.7652213930081753
rq0_0002,java,gaussian_sigma_4,0.672705447182853
rq0_0003,java,gaussian_sigma_1,0.9220495806613939
rq0_0003,java,gaussian_sigma_2,0.792631799775824
rq0_0003,java,gaussian_sigma_4,0.716869931260605
rq0_0004,java,gaussian_sigma_1,0.951203442452614
rq0_0004,java,gaussian_sigma_2,0.8715248312581364
rq0_0004,java,gaussian_sigma_4,0.8219842188131632
rq0_0005,java,gaussian_sigma_1,0.940671744453916
rq0_0005,java,gaussian_sigma_2,0.8464262401092033
rq0_0005,java,gaussian_sigma_4,0.7898672244258532
rq0_0006,java,gaussian_sigma_1,0.9389471990770577
rq0_0006,java,gaussian_sigma_2,0.8379878795957855
rq0_0006,java,gaussian_sigma_4,0.7755599842877398
rq0_0007,java,gaussian_sigma_1,0.9101576739356846
rq0_0007,java,gaussian_sigma_2,0.7667185450015629
rq0_0007,java,gaussian_sigma_4,0.6748727796871722
rq0_0008,java,gaussian_sigma_1,0.9387934106793604
rq0_0008,java,gaussian_sigma_2,0.8397909451583075
rq0_0008,java,gaussian_sigma_4,0.7761774184834271
rq0_0009,java,gaussian_sigma_1,0.9483070081626366
rq0_0009,java,gaussian_sigma_2,0.8635454273283324
rq0_0009,java,gaussian_sigma_4,0.8133610865554214
