model,language,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs24__wrap60__lnon,1000,422,323,0.422,0.7654028436018957,0.323,0.5780000000000001,0.0,0.2947418927752481,0.35261277972863847,0.7226908086343997,0.8033265514890964,0.5585922301060933,5.381985839093237e-36,0.647,0.017,1.0,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs24__wrap80__lnon,1000,510,361,0.51,0.707843137254902,0.361,0.49,0.0,0.3318160018268193,0.391247837032165,0.666938930637885,0.7456396894029276,0.45604865855361654,1.463954341830076e-27,0.66,0.026,0.75,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs20__wrap60__lnon,1000,426,334,0.426,0.784037558685446,0.334,0.5740000000000001,0.0,0.3054523188740042,0.36381816494320013,0.7425162346340564,0.8204820407392572,0.5773213295025587,3.146555296979101e-39,0.652,0.02,1.0,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs20__wrap80__lnon,1000,429,340,0.429,0.7925407925407926,0.34,0.571,0.0,0.31130188230514194,0.36992268041023574,0.7516565931315414,0.8282324052187241,0.5799646769369415,6.365488241118984e-40,0.673,0.023,0.9375,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs24__wrap60__lnon,1000,394,301,0.394,0.7639593908629442,0.301,0.606,0.0,0.2733762104461901,0.3301468394310608,0.7196054743635545,0.8032158540534644,0.5564142475605438,2.0957694562881302e-33,0.638,0.022,1.0,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs24__wrap80__lnon,1000,503,357,0.503,0.709741550695825,0.357,0.497,0.0,0.3279037500492223,0.3871907028776464,0.6686055856007783,0.7476981644731587,0.43592689053031847,9.54883609600726e-25,0.652,0.017,0.75,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap60__lnon,1000,471,350,0.471,0.7430997876857749,0.35,0.529,0.0,0.32106271005247566,0.38008531749319086,0.7017851094781848,0.7804811201150341,0.5182487213456042,9.908048217350227e-34,0.657,0.027,0.875,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,1000,430,327,0.43,0.7604651162790698,0.327,0.5700000000000001,0.0,0.2986345103891364,0.35668954804686565,0.7179314637228195,0.7983861805357454,0.5370918848763583,1.67150931543562e-33,0.667,0.024,0.875,0.625
Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs24__wrap60__lnon,1000,433,332,0.433,0.766743648960739,0.332,0.567,0.0,0.30350363489239063,0.36178215595875596,0.7246709282247902,0.8041250350146244,0.551506286133277,7.97108173827954e-36,0.663,0.021,0.875,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs24__wrap80__lnon,1000,556,411,0.556,0.7392086330935251,0.411,0.44399999999999995,0.0,0.3809022198018245,0.4417789432086042,0.7011600394620421,0.7739744755135527,0.49689213573204244,5.2392964452676156e-36,0.67,0.028,0.625,0.6875
